"Virus_Name","Order","Family","Genus"
"Australian Bat Lyssavirus","Mononegavirales","Rhabdoviridae","Lyssavirus"
"Avastrovirus","Stellavirales","astroviridae","avastrovirus"
"Border Disease Virus","Amarillovirales","Flaviviridae","Pestivirus"
"Borna Disease Virus 1","Mononegavirales","bornaviridae","orthobornavirus"
"Bovine Coronavirus","Nidovirales","coronaviridae","betacoronavirus"
"Bovine Leukemia Virus","Ortervirales","retroviridae","deltaretrovirus"
"Bovine Viral Diarrhea Virus","Amarillovirales","Flaviviridae","Pestivirus"
"Canine Adenovirus 1","Rowavirales","adenoviridae","mastadenovirus"
"Canine Distemper Virus","Mononegavirales","Paramyxoviridae","Morbillivirus"
"Caprine Arthritis-Encephalitis Virus","Ortervirales","retroviridae","lentivirus"
"Coxsackie B3 Virus","Picornavirales","Picornaviridae","enterovirus"
"Dolphin Morbilivirus","Mononegavirales","Paramyxoviridae","Morbillivirus"
"Ebola Virus","Mononegavirales","filoviridae","ebolavirus"
"Enterovirus C99","Picornavirales","Picornaviridae","enterovirus"
"European Bat Lyssavirus","Mononegavirales","Rhabdoviridae","Lyssavirus"
"Feline Immundeficiency Virus","Ortervirales","retroviridae","lentivirus"
"Feline Leukemia Virus","Ortervirales","retroviridae","gammaretrovirus"
"Feline Morbilivirus","Mononegavirales","Paramyxoviridae","Morbillivirus"
"Foot-And-Mouth Disease Virus","Picornavirales","Picornaviridae","Aphthovirus"
"Getah Virus","Martellivirales","togaviridae","alphavirus"
"Hendra Virus","Mononegavirales","Paramyxoviridae","henipavirus"
"Hepatitis E Virus","Hepelivirales","Hepeviridae","Hepevirus"
"Htlv-1","Ortervirales","retroviridae","deltaretrovirus"
"Htlv-4","Ortervirales","retroviridae","deltaretrovirus"
"Human Adenovirus","Rowavirales","adenoviridae","mastadenovirus"
"Human Metapneumovirus","Mononegavirales","pneumoviridae","metapneumovirus"
"Human Norovirus","Picornavirales","Caliciviridae","norovirus"
"Human Respirovirus 3","Mononegavirales","Paramyxoviridae","respirovirus"
"Human Rhinovirus C","Picornavirales","Picornaviridae","enterovirus"
"Influenza A","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus"
"Influenza C","Articulavirales","Orthomyxoviridae","gammainfluenzavirus"
"Lymphocytic Choriomeningitis Virus","Bunyavirales","arenaviridae","mammarenavirus"
"Menangle Virus","Mononegavirales","Paramyxoviridae","pararubulavirus"
"Mers-Cov","Nidovirales","coronaviridae","betacoronavirus"
"Nipah Virus","Mononegavirales","Paramyxoviridae","henipavirus"
"Peste Des Petits Ruminants Virus","Mononegavirales","Paramyxoviridae","Morbillivirus"
"Pigeon Paramyxovirus 1","Mononegavirales","Paramyxoviridae","avulavirus"
"Puumala Hantavirus","Bunyavirales","hantaviridae","orthohantavirus"
"Rabbit Hemorrhagic Disease Virus 2","Picornavirales
","Caliciviridae","Lagovirus"
"Rabies Virus","Mononegavirales","Rhabdoviridae","Lyssavirus"
"Human Respiratory Syncytial Virus","Mononegavirales","pneumoviridae","orthopneumovirus"
"Rotavirus","Reoviridae","Reoviridae","Rotavirus"
"Sars-Cov","Nidovirales","coronaviridae","betacoronavirus"
"Seoul Virus","Bunyavirales","hantaviridae","orthohantavirus"
"Severe Fever With Thrombocytopenia Syndrome Virus","Bunyavirales","phenuiviridae","bandavirus"
"Simian Foamy Virus","Ortervirales","retroviridae","spumavirus"
"Simian Immunodeficiency Virus","Ortervirales","retroviridae","lentivirus"
"Simian Type D Retrovirus","Ortervirales","retroviridae","betaretrovirus"
"Sin Nombre Virus","Bunyavirales","hantaviridae","orthohantavirus"
"Stlv-1","Ortervirales","retroviridae","deltaretrovirus"
"Variegated Squirrel Bornavirus 1","Mononegavirales","bornaviridae","orthobornavirus"
"West Caucasian Bat Lyssavirus","Mononegavirales","Rhabdoviridae","Lyssavirus"
